molecule_chembl_id	pref_name	canonical_smiles	MW
CHEMBL2	PRAZOSIN	COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC	383.40800000000024
CHEMBL4	OFLOXACIN	CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23	361.37300000000005
CHEMBL5	NALIDIXIC ACID	CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21	232.23899999999998
CHEMBL6	INDOMETHACIN	COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1	357.793
CHEMBL403	SULBACTAM	CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O	233.24499999999998
CHEMBL404	TAZOBACTAM	C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O	300.296
CHEMBL8	CIPROFLOXACIN	O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O	331.34700000000004
CHEMBL9	NORFLOXACIN	CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21	319.336
CHEMBL6622	ISOSORBIDE DINITRATE	O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-]	236.13599999999997
CHEMBL6437	MIANSERIN	CN1CCN2c3ccccc3Cc3ccccc3C2C1	264.372
CHEMBL11	IMIPRAMINE	CN(C)CCCN1c2ccccc2CCc2ccccc21	280.415
CHEMBL406	INDAPAMIDE	CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1	365.84200000000004
CHEMBL407	FLUMAZENIL	CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2	303.293
CHEMBL408	TROGLITAZONE	Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2	441.54900000000015
CHEMBL409	BICALUTAMIDE	CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1	430.3790000000001
CHEMBL12	DIAZEPAM	CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21	284.74600000000004
CHEMBL13	METOPROLOL	COCCc1ccc(OCC(O)CNC(C)C)cc1	267.36899999999997
CHEMBL411	DIETHYLSTILBESTROL	CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1	268.356
CHEMBL16	PHENYTOIN	O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1	252.27300000000002
CHEMBL415	CLOMIPRAMINE	CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21	314.86
CHEMBL416	METHOXSALEN	COc1c2occc2cc2ccc(=O)oc12	216.19199999999995
CHEMBL17	DICHLORPHENAMIDE	NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1	305.16400000000004
CHEMBL18	ETHOXZOLAMIDE	CCOc1ccc2nc(S(N)(=O)=O)sc2c1	258.32399999999996
CHEMBL19	METHAZOLAMIDE	CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C	236.278
CHEMBL20	ACETAZOLAMIDE	CC(=O)Nc1nnc(S(N)(=O)=O)s1	222.251
CHEMBL420	GUANABENZ	N=C(N)N/N=C/c1c(Cl)cccc1Cl	231.086
CHEMBL22	TRIMETHOPRIM	COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC	290.32300000000004
CHEMBL6966	VERAPAMIL	COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC	454.6110000000002
CHEMBL421	SULFASALAZINE	O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O	398.4000000000001
CHEMBL23	DILTIAZEM	COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1	414.52700000000016
CHEMBL24	ATENOLOL	CC(C)NCC(O)COc1ccc(CC(N)=O)cc1	266.34099999999995
CHEMBL422	TRIFLUOPERAZINE	CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1	407.50500000000017
CHEMBL423	BETAXOLOL	CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1	307.434
CHEMBL425	OLSALAZINE	O=C(O)c1cc(/N=N/c2ccc(O)c(C(=O)O)c2)ccc1O	302.242
CHEMBL27	PROPRANOLOL	CC(C)NCC(O)COc1cccc2ccccc12	259.34900000000005
CHEMBL6995	PRACTOLOL	CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1	266.34099999999995
CHEMBL29	PENICILLIN G	CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O	334.39700000000005
CHEMBL428	TROVAFLOXACIN	N[C@@H]1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12	416.3590000000001
CHEMBL30	CIMETIDINE	CN/C(=N\CCSCc1nc[nH]c1C)NC#N	252.347
CHEMBL31	GATIFLOXACIN	COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12	375.40000000000015
CHEMBL429	LABETALOL	CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1	328.4120000000001
CHEMBL32	MOXIFLOXACIN	COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12	401.4380000000002
CHEMBL33	LEVOFLOXACIN ANHYDROUS	C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23	361.37300000000005
CHEMBL430	GEMIFLOXACIN	CO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1CN	389.38700000000017
CHEMBL431	SPIRAPRIL	CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2	466.62500000000034
CHEMBL434	ISOPROTERENOL	CC(C)NCC(O)c1ccc(O)c(O)c1	211.261
CHEMBL435	HYDROCHLOROTHIAZIDE	NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O	297.74500000000006
CHEMBL35	FUROSEMIDE	NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl	330.749
CHEMBL36	PYRIMETHAMINE	CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1	248.71700000000004
CHEMBL436	TOLRESTAT	COc1ccc2c(C(=S)N(C)CC(=O)O)cccc2c1C(F)(F)F	357.353
CHEMBL437	SULFATHIAZOLE	Nc1ccc(S(=O)(=O)Nc2nccs2)cc1	255.32400000000004
CHEMBL438	SULFAMERAZINE	Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1	264.31
CHEMBL439	SULFADIAZINE	Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1	250.28300000000004
CHEMBL440	THIAMYLAL	C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O	254.355
CHEMBL441	THIOPENTAL	CCCC(C)C1(CC)C(=O)NC(=S)NC1=O	242.34400000000002
CHEMBL268164	CYCLOBARBITAL	CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O	236.271
CHEMBL38	TRETINOIN	CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1	300.44200000000006
CHEMBL7413	METHOHEXITAL	C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O	262.30899999999997
CHEMBL40	PHENOBARBITAL	CCC1(c2ccccc2)C(=O)NC(=O)NC1=O	232.23899999999995
CHEMBL41	FLUOXETINE	CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1	309.33099999999996
CHEMBL443	SULFAMETHOXAZOLE	Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1	253.28300000000002
CHEMBL42	CLOZAPINE	CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1	326.83100000000013
CHEMBL445	NORTRIPTYLINE	CNCCC=C1c2ccccc2CCc2ccccc21	263.38399999999996
CHEMBL446	SULFAMETHAZINE	Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1	278.337
CHEMBL447	SECOBARBITAL	C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O	238.28699999999998
CHEMBL448	PENTOBARBITAL	CCCC(C)C1(CC)C(=O)NC(=O)NC1=O	226.276
CHEMBL7568	QUINACRINE	CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12	399.9660000000002
CHEMBL267894	AMOBARBITAL	CCC1(CCC(C)C)C(=O)NC(=O)NC1=O	226.27599999999998
CHEMBL7728	HEXOBARBITAL	CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O	236.27099999999993
CHEMBL449	BUTABARBITAL	CCC(C)C1(CC)C(=O)NC(=O)NC1=O	212.249
CHEMBL7863	APROBARBITAL	C=CCC1(C(C)C)C(=O)NC(=O)NC1=O	210.23299999999998
CHEMBL451	CHLORDIAZEPOXIDE	CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1	299.761
CHEMBL266349	MELAGATRAN	N=C(N)c1ccc(CNC(=O)[C@@H]2CCN2C(=O)[C@H](NCC(=O)O)C2CCCCC2)cc1	429.52100000000024
CHEMBL452	CLONAZEPAM	O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1	315.716
CHEMBL453	SULFISOXAZOLE	Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C	267.31
CHEMBL268869	SULFAMETHOXYPYRIDAZINE	COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1	280.30899999999997
CHEMBL454	BUTALBITAL	C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O	224.26
CHEMBL455	SULFACETAMIDE	CC(=O)NS(=O)(=O)c1ccc(N)cc1	214.246
CHEMBL43	AMSACRINE	COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12	393.46800000000013
CHEMBL456	ETHACRYNIC ACID	C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl	303.14099999999996
CHEMBL267744	TICRYNAFEN	O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl	331.17600000000004
CHEMBL457	GEMFIBROZIL	Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1	250.33799999999997
CHEMBL45	MELATONIN	COc1ccc2[nH]cc(CCNC(C)=O)c2c1	232.28299999999996
CHEMBL46	ONDANSETRON	Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O	293.37000000000006
CHEMBL49	BUSPIRONE	O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1	385.5120000000001
CHEMBL459	METHYLDOPA	C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O	211.21699999999998
CHEMBL460	MOLINDONE	CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2	276.38
CHEMBL53	APOMORPHINE	CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3	267.328
CHEMBL54	HALOPERIDOL	O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1	375.87100000000015
CHEMBL55	PENTAMIDINE	N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1	340.42699999999996
CHEMBL464	ETRETINATE	CCOC(=O)/C=C(C)/C=C/C=C(C)/C=C/c1c(C)cc(OC)c(C)c1C	354.4900000000001
CHEMBL57	NEVIRAPINE	Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1	266.30400000000003
CHEMBL465	DRONABINOL	CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21	314.46900000000005
